Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id,Score,Scoring String,Negativity,Positivity,Uncovered Tokens,Total Tokens
2023-02-26 16:02:14,Zenzo L,1277504906.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @cricketbetting: #T20WorldCup2023 #SAvAUS Tip is here
https://t.co/criA589XSS",,,1.0,1629783891098710000.0,.0,,.0,.0,17.0,17.0
2023-02-26 15:47:28,ANSWER,1509932926368070000.0,Narutoreddy,1509932926368070000.0,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Reddy__B @Tejatweets9114 Chusukundhamu anthamu... anthe kani fanbase cricket naku dabulu isadhi.. betting petesthamu anthe maku emi nopi.. anukondi petukondi eysala cup na madade ani egarandhi maku emi nopi meru gelikeantha varaku,,,.0,1629780177973830000.0,.0,,.0,.0,42.0,42.0
2023-02-26 15:46:28,ANSWER,1509932926368070000.0,Narutoreddy,1509932926368070000.0,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Reddy__B @Tejatweets9114 Maku enduku una fanbase cricket ni chustharu .. geliste eguruthamu odipothe gamuntamu.. evaro okaru gelikithe memu cup kotamu... cup kotani teams tho polchakandi (PBKS) ani chepthamu.. CSK MI valu aite unko nalugu cricket betting ban ayaru ambani mawa ani ani gamuntamu next time,,,.0,1629779922578450000.0,-.7,ban (-0.67),.7,.0,59.0,60.0
2023-02-26 15:44:44,Ed Hawkins,69566782.0,,-1.0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#T20WorldCup2023 #SAvAUS Tip is here
https://t.co/criA589XSS",,,1.0,1629779486844570000.0,.0,,.0,.0,13.0,13.0
2023-02-26 15:00:01,FreeTips - Betting Tips from FreeTips.com,771187179313783000.0,,-1.0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","🇦🇺🇿🇦🏏 Australia vs South Africa Women Tips - Brits to lead hosts to T20 World Cup title

📈 Get our preview and betting tips! 👇

➡️ https://t.co/NXKBNtfleq

#WomensT20WorldCup #Tips #freetips 🔞 18+ BeGambleAware",,,.0,1629768233568840000.0,.0,,.0,.0,47.0,47.0
2023-02-26 14:47:19,Ed Hawkins,69566782.0,,-1.0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Karachi Kings v Multan Sultans PSL Tips: Can Kings go close again? https://t.co/57rvN3Aj5U,,,.0,1629765037614040000.0,.0,,.0,.0,20.0,20.0
2023-02-26 13:38:46,Maureen Prince,1426296025048780000.0,9NewsMelb,183036128.0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","@9NewsMelb Ok I only go to these clubs once a year on holiday in QLD BUT, if the Government is going to do this, are they going to close the TAB offices, the betting shops, and the horse racing industry. Not to mention those who bet on cricket, AFL etc. oh hang the rich do those.",,,.0,1629747788383940000.0,.4,ok (0.31)  holiday (0.44)  bet (-1.00)  rich (0.67),1.0,1.4,60.0,64.0
2023-02-26 13:23:34,Golden Company,1592391736227410000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Join now 👇🏻
https://t.co/PHXcAndA5z 

Play cricket 🏏 & casino 🎰 & jeeto Dher sare paise. 

Instant Deposit & Withdrawal
GET YOUR ID NOW 

Asia's Top Most Trusted 
Golden Company
License betting company. 

Whatsapp For Any HeLp 👇🏻
24*7 support 👇
https://t.co/3HZC2j6Tkp https://t.co/JuO8SAsJKP",,,.0,1629743964374070000.0,2.3,join (0.31)  play (0.36)  withdrawal (0.03)  top (0.21)  trusted (0.54)  help (0.44)  support (0.44),.0,2.3,66.0,73.0
2023-02-26 12:58:28,Telecom Asia Sport,1460962370315040000.0,,-1.0,en,"<a href=""https://smmplanner.com"" rel=""nofollow"">SMMplanner</a>","Australian women vs South African Women Predictions, Betting Tips & Odds │26 February, 2023

https://t.co/jbG959fBuZ https://t.co/FkLK7dECep",,,.0,1629737644606280000.0,.0,,.0,.0,30.0,30.0
2023-02-26 12:14:08,FairPlay,1301769484630330000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The odds are high, up to 10%. This is your day to make the most profits from the final match. Khel Ja on Fairplay!

#fairplay #FairplayIndia #ICCCricket #betting #bettingsports #Cricket #womencricketleague #womencricket #ICCWomen #T20WorldCup #final #ausvssa https://t.co/GgpNpbtS8R",,,.0,1629726490115080000.0,.5,profits (0.49),.0,.5,59.0,60.0
2023-02-26 12:00:30,Abdullah,1284566712805920000.0,ChaiMeiDubaBskt,1251642891895630000.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ChaiMeiDubaBskt @Cric_Karthikk It's called surrogate Advertising. They replaced ""e"" with ""a"" but when a user google them their main betting website shows up. FYI, 1XBET Revenue is 
$2 Billion as these betting companies are hell rich. They are now targeting cricket in every country through surrogate Advertising https://t.co/XFwlzmc9bL",,,.0,1629723057966270000.0,-.1,fyi (0.21)  hell (-0.92)  rich (0.67),.9,.9,64.0,67.0
2023-02-26 09:59:11,Read Scoops,877857931349312000.0,,-1.0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Legends League Cricket is back with LLC Masters 2023! @RajaBets 

LLC betting online: https://t.co/bW9l8xgftp

#LLCMasters #LLCT20 #BossLogonKaGame",,,.0,1629692526381740000.0,.0,,.0,.0,31.0,31.0
2023-02-26 09:23:33,Betting Baba 💰,1541126558965850000.0,,-1.0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Live bet cricket 🏏

Kane Williamson O 31.5 Runs 1U @ 1.90

#GamblingTwitter #CricketTwitter #NZvENG",,,.0,1629683561120010000.0,-1.0,bet (-1.00),1.0,.0,22.0,23.0
